,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
249,Guayas,4387434,126,4,0,-2.183333,-79.883333,05/04/2020
250,Imbabura,476257,1,0,0,0.362678,-78.130667,05/04/2020
251,Loja,521154,0,0,0,-3.983333,-79.2,05/04/2020
252,Los Ríos,921763,10,0,0,-1.8,-79.533333,05/04/2020
253,Manabí,1562079,2,0,0,-1.056181,-80.455217,05/04/2020
254,Morona Santiago,196535,0,0,0,-2.3,-78.116667,05/04/2020
255,Napo,133705,0,0,0,-0.989,-77.8159,05/04/2020
256,Orellana,161338,0,0,0,-0.466667,-76.966667,05/04/2020
257,Pastaza,114202,0,0,0,-1.066667,-78.001111,05/04/2020
258,Pichincha,3228233,6,0,0,-0.218611,-78.509722,05/04/2020
259,Santa Elena,401178,4,0,0,-2.2267,-80.8583,05/04/2020
260,Sto. Domingo Tsáchilas,511151,2,0,0,-0.254167,-79.171944,05/04/2020
261,Sucumbíos,230503,1,0,0,0.084722,-76.882778,05/04/2020
262,Tungurahua,590600,3,1,0,-1.241667,-78.619722,05/04/2020
263,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,05/04/2020
264,Azuay,881394,5,0,0,-2.897414,-79.004481,06/04/2020
265,Bolívar,209933,1,0,0,-1.605556,-79.003056,06/04/2020
266,Carchi,186869,0,0,0,0.81218,-77.71633,06/04/2020
267,Cañar,281396,2,0,0,-2.733333,-78.833333,06/04/2020
268,Chimborazo,524004,2,0,0,-1.674347,-78.648294,06/04/2020
269,Cotopaxi,488716,1,0,0,-0.933333,-78.616667,06/04/2020
270,El Oro,715751,14,1,0,-3.266667,-79.966667,06/04/2020
271,Esmeraldas,591083,0,0,0,1.05,-79.2,06/04/2020
272,Galápagos,33042,1,0,0,-0.7999999999999999,-89.4,06/04/2020
273,Guayas,4387434,130,4,0,-2.183333,-79.883333,06/04/2020
274,Imbabura,476257,2,1,0,0.362678,-78.130667,06/04/2020
275,Loja,521154,0,0,0,-3.983333,-79.2,06/04/2020
276,Los Ríos,921763,10,0,0,-1.8,-79.533333,06/04/2020
277,Manabí,1562079,3,1,0,-1.056181,-80.455217,06/04/2020
278,Morona Santiago,196535,0,0,0,-2.3,-78.116667,06/04/2020
279,Napo,133705,0,0,0,-0.989,-77.8159,06/04/2020
280,Orellana,161338,0,0,0,-0.466667,-76.966667,06/04/2020
281,Pastaza,114202,0,0,0,-1.066667,-78.001111,06/04/2020
282,Pichincha,3228233,10,4,0,-0.218611,-78.509722,06/04/2020
283,Santa Elena,401178,4,0,0,-2.2267,-80.8583,06/04/2020
284,Sto. Domingo Tsáchilas,511151,2,0,0,-0.254167,-79.171944,06/04/2020
285,Sucumbíos,230503,1,0,0,0.084722,-76.882778,06/04/2020
286,Tungurahua,590600,3,0,0,-1.241667,-78.619722,06/04/2020
287,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,06/04/2020
288,Azuay,881394,6,1,0,-2.897414,-79.004481,07/04/2020
289,Bolívar,209933,1,0,0,-1.605556,-79.003056,07/04/2020
290,Carchi,186869,0,0,0,0.81218,-77.71633,07/04/2020
291,Cañar,281396,2,0,0,-2.733333,-78.833333,07/04/2020
292,Chimborazo,524004,11,9,0,-1.674347,-78.648294,07/04/2020
293,Cotopaxi,488716,4,3,0,-0.933333,-78.616667,07/04/2020
294,El Oro,715751,14,0,0,-3.266667,-79.966667,07/04/2020
295,Esmeraldas,591083,0,0,0,1.05,-79.2,07/04/2020
296,Galápagos,33042,1,0,0,-0.7999999999999999,-89.4,07/04/2020
297,Guayas,4387434,138,8,0,-2.183333,-79.883333,07/04/2020
298,Imbabura,476257,2,0,0,0.362678,-78.130667,07/04/2020
299,Loja,521154,0,0,0,-3.983333,-79.2,07/04/2020
300,Los Ríos,921763,11,1,0,-1.8,-79.533333,07/04/2020
